Run,Seed,AUC
0,436858,0.8418803418803418
1,768277,0.6527777777777778
2,10664,0.731060606060606
3,860016,0.6818181818181819
4,865292,0.7649572649572648
5,841848,0.7606837606837606
6,313147,0.8842592592592593
7,896678,0.8101851851851851
8,386308,0.8879999999999999
9,977048,0.8240740740740741
10,203069,0.664
11,283373,0.6496598639455783
12,593503,0.7
13,457419,0.660919540229885
14,169542,0.8496503496503496
15,391186,0.7051282051282051
16,130304,0.9359999999999999
17,916639,0.7863247863247862
18,453967,0.7413793103448276
19,273773,0.7587412587412588
20,589383,0.712
21,657683,0.8589743589743589
22,182813,0.8181818181818182
23,641487,0.6969696969696969
24,580095,0.5925925925925926
25,195884,0.756
26,372142,0.8287037037037037
27,774005,0.49537037037037035
28,1004604,0.7777777777777778
29,768470,0.7971014492753624
30,95729,0.7448979591836734
31,556839,0.7521367521367521
32,1026179,0.673469387755102
33,771113,0.6628787878787878
34,432139,0.752
35,613472,0.8522727272727273
36,528415,0.8143939393939393
37,174665,0.712962962962963
38,155343,0.8622448979591837
39,215707,0.6538461538461537
40,753892,0.6799999999999999
41,81624,0.6239316239316239
42,199200,0.9
43,877732,0.7528735632183908
44,358153,0.688034188034188
45,337683,0.7727272727272727
46,24664,0.9489795918367347
47,481128,0.7692307692307692
48,356011,0.7602040816326531
49,28176,0.9017094017094016
