Run,Seed,AUC
0,436858,0.8333333333333333
1,768277,0.7880434782608695
2,10664,0.9047619047619048
3,860016,0.6616161616161617
4,865292,0.7738095238095237
5,841848,0.6868686868686869
6,313147,0.7626262626262625
7,896678,0.6466666666666666
8,386308,0.7999999999999999
9,977048,0.8133333333333332
10,203069,0.8695652173913043
11,283373,0.75
12,593503,0.7499999999999999
13,457419,0.7
14,169542,0.761904761904762
15,391186,0.7608695652173914
16,130304,0.8227272727272728
17,916639,0.8333333333333333
18,453967,0.7119565217391305
19,273773,0.5757575757575757
20,589383,0.803030303030303
21,657683,0.8533333333333334
22,182813,0.7797619047619049
23,641487,0.7934782608695652
24,580095,0.78
25,195884,0.7678571428571429
26,372142,0.7282608695652174
27,774005,0.8315217391304348
28,1004604,0.8
29,768470,0.8152173913043479
30,95729,0.6607142857142857
31,556839,0.6857142857142857
32,1026179,0.7083333333333333
33,771113,0.7846153846153846
34,432139,0.7929292929292929
35,613472,0.7717391304347826
36,528415,0.7771739130434783
37,174665,0.5773809523809523
38,155343,0.75
39,215707,0.8737373737373737
40,753892,0.5909090909090908
41,81624,0.7428571428571429
42,199200,0.8273809523809523
43,877732,0.676923076923077
44,358153,0.6428571428571428
45,337683,0.72
46,24664,0.7153846153846153
47,481128,0.7523809523809524
48,356011,0.6607142857142857
49,28176,0.8769230769230769
